MG,CACHOEIRA DOURADA,CACHOEIRA DOURADA
MG,CURRAL DE DENTRO,CURRAL DE DENTRO
MG,DELFIM MOREIRA,DELFIM MOREIRA
MG,DIVISA ALEGRE,DIVISA ALEGRE
MG,DIVISOPOLIS,DIVISOPOLIS
MG,DOM BOSCO,DOM BOSCO
MG,ENGENHEIRO CALDAS,ENGENHEIRO CALDAS
MG,ESPINOSA,ESPINOSA
MG,ESTIVA,ESTIVA
MG,FRANCISCO BADARO,FRANCISCO BADARO
MG,FRANCISCOPOLIS,FRANCISCOPOLIS
MG,FREI GASPAR,FREI GASPAR
MG,FRONTEIRA DOS VALES,FRONTEIRA DOS VALES
MG,FRUTA DE LEITE,FRUTA DE LEITE
MG,FRUTAL,FRUTAL
MG,GOIABEIRA,GOIABEIRA
MG,GUARANESIA,GUARANESIA
MG,GUARDA-MOR,GUARDA-MOR
MG,GUAXUPE,GUAXUPE
MG,MONTE CARMELO,MONTE CARMELO
MG,SANTA BARBARA,SANTA BARBARA
ES,BOA ESPERANCA,BOA ESPERANCA
RJ,MESQUITA,MESQUITA
RJ,PARATI,PARATI
RJ,RIO CLARO,RIO CLARO
SP,CANANEIA,CANANEIA
SP,CORUMBATAI,CORUMBATAI
SP,ITAOCA,ITAOCA
SP,MOJI DAS CRUZES,MOJI DAS CRUZES
SP,SAO FRANCISCO,SAO FRANCISCO
SP,SAO SIMAO,SAO SIMAO
SP,TAPIRAI,TAPIRAI
SP,TURMALINA,TURMALINA